Designator;Mid X;Mid Y;Layer;Rotation
C1;2.9210mm;11.8180mm;Top;180
C2;13.9700mm;85.6050mm;Top;180
C3;52.7050mm;95.1300mm;Top;270
C4;13.4690mm;93.4790mm;Top;0
C5;51.9430mm;83.1920mm;Top;270
C6;39.8780mm;90.6850mm;Top;270
C7;21.5900mm;59.4360mm;Top;270
C8;19.1770mm;59.4360mm;Top;270
D1;34.6630mm;72.0679mm;Top;180
D2;37.8460mm;72.0160mm;Top;180
D3;43.1080mm;95.0231mm;Top;0
D4;46.1560mm;95.0231mm;Top;0
D5;49.1880mm;95.0231mm;Top;0
D6;9.0170mm;92.5900mm;Top;180
IC1;13.8430mm;88.2720mm;Top;0
IC2;50.9270mm;88.5260mm;Top;270
J1;46.3550mm;102.0950mm;Top;180
J2;14.9860mm;4.8050mm;Top;0
J3;9.0170mm;98.3690mm;Top;180
R1;10.2870mm;87.2560mm;Top;0
R2;48.6410mm;90.3040mm;Top;270
R3;21.4630mm;75.8260mm;Top;180
R4;21.4630mm;74.5560mm;Top;180
T1;27.5000mm;97.0259mm;Top;0
U1;19.1770mm;65.9200mm;Top;90
USB;7.3661mm;83.3190mm;Top;180
